Country,Region,Population,Birthrate,Deathrate
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,"46,6","20,34"
Albania ,EASTERN EUROPE                     ,3581655,"15,11","5,22"
Algeria ,NORTHERN AFRICA                    ,32930091,"17,14","4,61"
American Samoa ,OCEANIA                            ,57794,"22,46","3,27"
Andorra ,WESTERN EUROPE                     ,71201,"8,71","6,25"
Angola ,SUB-SAHARAN AFRICA                 ,12127071,"45,11","24,2"
Anguilla ,LATIN AMER. & CARIB    ,13477,"14,17","5,34"
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,"16,93","5,37"
Argentina ,LATIN AMER. & CARIB    ,39921833,"16,73","7,55"
Armenia ,C.W. OF IND. STATES ,2976372,"12,07","8,23"
Aruba ,LATIN AMER. & CARIB    ,71891,"11,03","6,68"
Australia ,OCEANIA                            ,20264082,"12,14","7,51"
Austria ,WESTERN EUROPE                     ,8192880,"8,74","9,76"
Azerbaijan ,C.W. OF IND. STATES ,7961619,"20,74","9,75"
"Bahamas, The ",LATIN AMER. & CARIB    ,303770,"17,57","9,05"
Bahrain ,NEAR EAST                          ,698585,"17,8","4,14"
Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,"29,8","8,27"
Barbados ,LATIN AMER. & CARIB    ,279912,"12,71","8,67"
Belarus ,C.W. OF IND. STATES ,10293011,"11,16","14,02"
Belgium ,WESTERN EUROPE                     ,10379067,"10,38","10,27"
Belize ,LATIN AMER. & CARIB    ,287730,"28,84","5,72"
Benin ,SUB-SAHARAN AFRICA                 ,7862944,"38,85","12,22"
Bermuda ,NORTHERN AMERICA                   ,65773,"11,4","7,74"
Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,"33,65","12,7"
Bolivia ,LATIN AMER. & CARIB    ,8989046,"23,3","7,53"
Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,"8,77","8,27"
Botswana ,SUB-SAHARAN AFRICA                 ,1639833,"23,08","29,5"
Brazil ,LATIN AMER. & CARIB    ,188078227,"16,56","6,17"
British Virgin Is. ,LATIN AMER. & CARIB    ,23098,"14,89","4,42"
Brunei ,ASIA (EX. NEAR EAST)         ,379444,"18,79","3,45"
Bulgaria ,EASTERN EUROPE                     ,7385367,"9,65","14,27"
Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972,"45,62","15,6"
Burma ,ASIA (EX. NEAR EAST)         ,47382633,"17,91","9,83"
Burundi ,SUB-SAHARAN AFRICA                 ,8090068,"42,22","13,46"
Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,"26,9","9,06"
Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,"33,89","13,47"
Canada ,NORTHERN AMERICA                   ,33098932,"10,78","7,8"
Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,"24,87","6,55"
Cayman Islands ,LATIN AMER. & CARIB    ,45436,"12,74","4,89"
Central African Rep. ,SUB-SAHARAN AFRICA                 ,4303356,"33,91","18,65"
Chad ,SUB-SAHARAN AFRICA                 ,9944201,"45,73","16,38"
Chile ,LATIN AMER. & CARIB    ,16134219,"15,23","5,81"
China ,ASIA (EX. NEAR EAST)         ,1313973713,"13,25","6,97"
Colombia ,LATIN AMER. & CARIB    ,43593035,"20,48","5,58"
Comoros ,SUB-SAHARAN AFRICA                 ,690948,"36,93","8,2"
"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA                 ,62660551,"43,69","13,27"
"Congo, Repub. of the ",SUB-SAHARAN AFRICA                 ,3702314,"42,57","12,93"
Cook Islands ,OCEANIA                            ,21388,21,
Costa Rica ,LATIN AMER. & CARIB    ,4075261,"18,32","4,36"
Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,17654843,"35,11","14,84"
Croatia ,EASTERN EUROPE                     ,4494749,"9,61","11,48"
Cuba ,LATIN AMER. & CARIB    ,11382820,"11,89","7,22"
Cyprus ,NEAR EAST                          ,784301,"12,56","7,68"
Czech Republic ,EASTERN EUROPE                     ,10235455,"9,02","10,59"
Denmark ,WESTERN EUROPE                     ,5450661,"11,13","10,36"
Djibouti ,SUB-SAHARAN AFRICA                 ,486530,"39,53","19,31"
Dominica ,LATIN AMER. & CARIB    ,68910,"15,27","6,73"
Dominican Republic ,LATIN AMER. & CARIB    ,9183984,"23,22","5,73"
East Timor ,ASIA (EX. NEAR EAST)         ,1062777,"26,99","6,24"
Ecuador ,LATIN AMER. & CARIB    ,13547510,"22,29","4,23"
Egypt ,NORTHERN AFRICA                    ,78887007,"22,94","5,23"
El Salvador ,LATIN AMER. & CARIB    ,6822378,"26,61","5,78"
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,540109,"35,59","15,06"
Eritrea ,SUB-SAHARAN AFRICA                 ,4786994,"34,33","9,6"
Estonia ,BALTICS                            ,1324333,"10,04","13,25"
Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,"37,98","14,86"
Faroe Islands ,WESTERN EUROPE                     ,47246,"14,05","8,7"
