Country,Population,Birthrate,Deathrate,Region
Afghanistan,31056997,46.6,20.34,ASIA (EX. NEAR EAST)
Albania,3581655,15.11,5.22,EASTERN EUROPE
Algeria,32930091,17.14,4.61,NORTHERN AFRICA
American Samoa,57794,22.46,3.27,OCEANIA
Andorra,71201,8.71,6.25,WESTERN EUROPE
Angola,12127071,45.11,24.2,SUB-SAHARAN AFRICA
Anguilla,13477,14.17,5.34,LATIN AMER. & CARIB
Antigua & Barbuda,69108,16.93,5.37,LATIN AMER. & CARIB
Argentina,39921833,16.73,7.55,LATIN AMER. & CARIB
Armenia,2976372,12.07,8.23,C.W. OF IND. STATES
Aruba,71891,11.03,6.68,LATIN AMER. & CARIB
Australia,20264082,12.14,7.51,OCEANIA
Austria,8192880,8.74,9.76,WESTERN EUROPE
Azerbaijan,7961619,20.74,9.75,C.W. OF IND. STATES
Bahamas,303770,17.57,9.05,LATIN AMER. & CARIB
Bahrain,698585,17.8,4.14,NEAR EAST
Bangladesh,147365352,29.8,8.27,ASIA (EX. NEAR EAST)
Barbados,279912,12.71,8.67,LATIN AMER. & CARIB
Belarus,10293011,11.16,14.02,C.W. OF IND. STATES
Belgium,10379067,10.38,10.27,WESTERN EUROPE
Belize,287730,28.84,5.72,LATIN AMER. & CARIB
Benin,7862944,38.85,12.22,SUB-SAHARAN AFRICA
Bermuda,65773,11.4,7.74,NORTHERN AMERICA
Bhutan,2279723,33.65,12.7,ASIA (EX. NEAR EAST)
Bolivia,8989046,23.3,7.53,LATIN AMER. & CARIB
Bosnia & Herzegovina,4498976,8.77,8.27,EASTERN EUROPE
Botswana,1639833,23.08,29.5,SUB-SAHARAN AFRICA
Brazil,188078227,16.56,6.17,LATIN AMER. & CARIB
British Virgin Is.,23098,14.89,4.42,LATIN AMER. & CARIB
Brunei,379444,18.79,3.45,ASIA (EX. NEAR EAST)
Bulgaria,7385367,9.65,14.27,EASTERN EUROPE
Burkina Faso,13902972,45.62,15.6,SUB-SAHARAN AFRICA
Burma,47382633,17.91,9.83,ASIA (EX. NEAR EAST)
Burundi,8090068,42.22,13.46,SUB-SAHARAN AFRICA
