Country,Region,GDP ($ per capita)
Afghanistan ,ASIA (EX. NEAR EAST)         ,700
Albania ,EASTERN EUROPE                     ,4500
Algeria ,NORTHERN AFRICA                    ,6000
American Samoa ,OCEANIA                            ,8000
Andorra ,WESTERN EUROPE                     ,19000
Angola ,SUB-SAHARAN AFRICA                 ,1900
Anguilla ,LATIN AMER. & CARIB    ,8600
Antigua & Barbuda ,LATIN AMER. & CARIB    ,11000
Argentina ,LATIN AMER. & CARIB    ,11200
Armenia ,C.W. OF IND. STATES ,3500
Aruba ,LATIN AMER. & CARIB    ,28000
Australia ,OCEANIA                            ,29000
Austria ,WESTERN EUROPE                     ,30000
Azerbaijan ,C.W. OF IND. STATES ,3400
"Bahamas, The ",LATIN AMER. & CARIB    ,16700
Bahrain ,NEAR EAST                          ,16900
Bangladesh ,ASIA (EX. NEAR EAST)         ,1900
Barbados ,LATIN AMER. & CARIB    ,15700
Belarus ,C.W. OF IND. STATES ,6100
Belgium ,WESTERN EUROPE                     ,29100
Belize ,LATIN AMER. & CARIB    ,4900
Benin ,SUB-SAHARAN AFRICA                 ,1100
Bermuda ,NORTHERN AMERICA                   ,36000
Bhutan ,ASIA (EX. NEAR EAST)         ,1300
Bolivia ,LATIN AMER. & CARIB    ,2400
Bosnia & Herzegovina ,EASTERN EUROPE                     ,6100
Botswana ,SUB-SAHARAN AFRICA                 ,9000
Brazil ,LATIN AMER. & CARIB    ,7600
British Virgin Is. ,LATIN AMER. & CARIB    ,16000
Brunei ,ASIA (EX. NEAR EAST)         ,18600
Bulgaria ,EASTERN EUROPE                     ,7600
Burkina Faso ,SUB-SAHARAN AFRICA                 ,1100
Burma ,ASIA (EX. NEAR EAST)         ,1800
Burundi ,SUB-SAHARAN AFRICA                 ,600
Cambodia ,ASIA (EX. NEAR EAST)         ,1900
Cameroon ,SUB-SAHARAN AFRICA                 ,1800
Canada ,NORTHERN AMERICA                   ,29800
Cape Verde ,SUB-SAHARAN AFRICA                 ,1400
Cayman Islands ,LATIN AMER. & CARIB    ,35000
Central African Rep. ,SUB-SAHARAN AFRICA                 ,1100
Chad ,SUB-SAHARAN AFRICA                 ,1200
Chile ,LATIN AMER. & CARIB    ,9900
China ,ASIA (EX. NEAR EAST)         ,5000
Colombia ,LATIN AMER. & CARIB    ,6300
Comoros ,SUB-SAHARAN AFRICA                 ,700
"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA                 ,700
"Congo, Repub. of the ",SUB-SAHARAN AFRICA                 ,700
Cook Islands ,OCEANIA                            ,5000
Costa Rica ,LATIN AMER. & CARIB    ,9100
