Country,Region,Population,Infant mortality (per 1000 births)
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,"163,07"
Albania ,EASTERN EUROPE                     ,3581655,"21,52"
Algeria ,NORTHERN AFRICA                    ,32930091,31
American Samoa ,OCEANIA                            ,57794,"9,27"
Andorra ,WESTERN EUROPE                     ,71201,"4,05"
Angola ,SUB-SAHARAN AFRICA                 ,12127071,"191,19"
Anguilla ,LATIN AMER. & CARIB    ,13477,"21,03"
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,"19,46"
Argentina ,LATIN AMER. & CARIB    ,39921833,"15,18"
Armenia ,C.W. OF IND. STATES ,2976372,"23,28"
Aruba ,LATIN AMER. & CARIB    ,71891,"5,89"
Australia ,OCEANIA                            ,20264082,"4,69"
Austria ,WESTERN EUROPE                     ,8192880,"4,66"
Azerbaijan ,C.W. OF IND. STATES ,7961619,"81,74"
Bahamas,LATIN AMER. & CARIB    ,303770,"25,21"
Bahrain ,NEAR EAST                          ,698585,"17,27"
Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,"62,6"
Barbados ,LATIN AMER. & CARIB    ,279912,"12,5"
Belarus ,C.W. OF IND. STATES ,10293011,"13,37"
Belgium ,WESTERN EUROPE                     ,10379067,"4,68"
Belize ,LATIN AMER. & CARIB    ,287730,"25,69"
Benin ,SUB-SAHARAN AFRICA                 ,7862944,85
Bermuda ,NORTHERN AMERICA                   ,65773,"8,53"
Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,"100,44"
Bolivia ,LATIN AMER. & CARIB    ,8989046,"53,11"
Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,"21,05"
Botswana ,SUB-SAHARAN AFRICA                 ,1639833,"54,58"
Brazil ,LATIN AMER. & CARIB    ,188078227,"29,61"
British Virgin Is. ,LATIN AMER. & CARIB    ,23098,"18,05"
Brunei ,ASIA (EX. NEAR EAST)         ,379444,"12,61"
Bulgaria ,EASTERN EUROPE                     ,7385367,"20,55"
Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972,"97,57"
Burma ,ASIA (EX. NEAR EAST)         ,47382633,"67,24"
Burundi ,SUB-SAHARAN AFRICA                 ,8090068,"69,29"
Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,"71,48"
Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,"68,26"
Canada ,NORTHERN AMERICA                   ,33098932,"4,75"
Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,"47,77"
Cayman Islands ,LATIN AMER. & CARIB    ,45436,"8,19"
Central African Rep. ,SUB-SAHARAN AFRICA                 ,4303356,91
Chad ,SUB-SAHARAN AFRICA                 ,9944201,"93,82"
Chile ,LATIN AMER. & CARIB    ,16134219,"8,8"
China ,ASIA (EX. NEAR EAST)         ,1313973713,"24,18"
Colombia ,LATIN AMER. & CARIB    ,43593035,"20,97"
Comoros ,SUB-SAHARAN AFRICA                 ,690948,"74,93"
"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA                 ,62660551,"94,69"
"Congo, Repub. of the ",SUB-SAHARAN AFRICA                 ,3702314,"93,86"
Costa Rica ,LATIN AMER. & CARIB    ,4075261,"9,95"
Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,17654843,"90,83"
Croatia ,EASTERN EUROPE                     ,4494749,"6,84"
Cuba ,LATIN AMER. & CARIB    ,11382820,"6,33"
Cyprus ,NEAR EAST                          ,784301,"7,18"
Czech Republic ,EASTERN EUROPE                     ,10235455,"3,93"
Denmark ,WESTERN EUROPE                     ,5450661,"4,56"
Djibouti ,SUB-SAHARAN AFRICA                 ,486530,"104,13"
Dominica ,LATIN AMER. & CARIB    ,68910,"14,15"
Dominican Republic ,LATIN AMER. & CARIB    ,9183984,"32,38"
East Timor ,ASIA (EX. NEAR EAST)         ,1062777,"47,41"
Ecuador ,LATIN AMER. & CARIB    ,13547510,"23,66"
Egypt ,NORTHERN AFRICA                    ,78887007,"32,59"
El Salvador ,LATIN AMER. & CARIB    ,6822378,"25,1"
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,540109,"85,13"
Eritrea ,SUB-SAHARAN AFRICA                 ,4786994,"74,87"
Estonia ,BALTICS                            ,1324333,"7,87"
Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,"95,32"
Faroe Islands ,WESTERN EUROPE                     ,47246,"6,24"
Fiji ,OCEANIA                            ,905949,"12,62"
Finland ,WESTERN EUROPE                     ,5231372,"3,57"
France ,WESTERN EUROPE                     ,60876136,"4,26"
French Guiana ,LATIN AMER. & CARIB    ,199509,"12,07"
French Polynesia ,OCEANIA                            ,274578,"8,44"
Gabon ,SUB-SAHARAN AFRICA                 ,1424906,"53,64"
"Gambia, The ",SUB-SAHARAN AFRICA                 ,1641564,"72,02"
Gaza Strip ,NEAR EAST                          ,1428757,"22,93"
Georgia ,C.W. OF IND. STATES ,4661473,"18,59"
